grade;text
0;ausgduhabdnadandiandaoisndaojd
0;gsdgssagfgadsgdagdaf  gfdgdfsga gfdga gf fdaga g ad
0;fdkjhsf hijioj fisjfisjif jifj sidjf ij
0;fsd lkjsfj iosdf iosji fjij
0; jnb fnncnnks dkhdkj s dkj sajdks 
0;an bcabhas dhhdjka kdkhasdhakshjdashdasd
0;dasmhbgddhashduhasukd hdu hasud h
0;asd ad asd asf ewgnhbfgj h dfg fasf 
0;j,lwykudydkuiahsdkjidiasdiuidadiusidiaudi
0;adyuadyaud audiaodu sudiaodiod0pwdoas
0;Yo guys, can we start using those strats?
0;We weren’t joking on the 0-24
0;When does G2 play?
0;xD!
0;Saved
0;FP Kalista incoming
0;Lose is improve 
0;A cara de Johnny Depp e de Ben Chew assistindo o comportamento do psiquiatra da Amber Heard
0;"so johnny depp gets called ""wife-beater"" for YEARS despite any concrete evidence against him, and now when there are TONS of evidence that amber heard lied and abused johnny depp, she gets called ""imperfect victim""?!!? what a world we live in."
0;Camille Vazquez is gonna end up being a bigger celebrity than Amber by the end of the trial #JusticeForJohnny
0;ryba niezle gasi w tym kr
0;wszystkiego naj panie prezydencie(pisownia z małej litery celowa)
0;Dołączam się do życzeń panie prezydencie..100 lat w kamieniołomach za zrujnowanie Polski i chęć wciągnięcia jej do wojny na zlecenie Klausa Schwaba. 100 lat!
0;THOR: MIŁOŚĆ I GRZMOCENIE
0;PORYCZE SIE XDD ale co ty gadasz to thor przeciez jest no
1;„Stany Zjednoczone powinny przestać lekceważyć determinację i zdolność Chin do ochrony suwerenności i integralności terytorialnej. Chiny nie pozwolą żadnemu krajowi ingerować w jego sprawy wewnętrzne, w tym w sprawę Tajwanu” - chiński MSZ.
1;Orban na szczycie UE nie chce dyskutować o sankcjach na ropę z Rosji.
1;Były prezydent Mołdawii zatrzymany. Jest podejrzany m.in. o zdradę stanu.
1;Jutro KE przedstawi propozycję konfiskaty zamrożonych aktywów ros oligarchów, banków. Chodzi finansowanie pomocy na odbudowę Ukrainy. Na podst prawa karnego kraju w którym się znajdują.
1;"Rosja po trzech miesiącach inwazji na Ukrainę okupuje 20 procent jej terytorium – pisze ukraiński ""Forbes"". To 125 tysięcy kilometrów kwadratowych."
1;"Donald Trump oświadczył, że ""nigdy nie powróci na Twittera""."
1;Dostałem wiadomość od Dona Kasjo, ze chciałby wrócić do FAME, ale odmówiłem.
1;Polska ambasada w Rosji została oblana czerwoną farbą.
1;Władimir Putin stwierdził, że nakładane sankcje bardziej szkodzą Zachodowi niż Rosji.
1;Ważne! Rządząca w Szwecji partia SAP opowiedziała się za dołączeniem kraju do NATO. Wniosek zostanie złożony w najbliższych dniach.
1;"W pożarze zginęła Maja Lidia Kossakowska, pisarka. Informację potwierdzili bliscy ""pierwszej damy polskiej fantastyki""."
1;Od początku rosyjskiej inwazji na Ukrainę (24.02) zginęło co najmniej 3930 cywilów, w tym 257 dzieci, z zastrzeżeniem, że bilans na pewno jest wyższy, a to są ofiary już oficjalnie zweryfikowane przez ONZ.
1;Chiny. MSZ: USA złamały obietnice w sprawie Tajwanu, potajemnie i publicznie podżegały i wspierały działania separatystów
1;"W tę środę przed sądem stanie Kate Moss. Strona Amber cieszy się z tego tytułu, bo najprawdopodobniej chcą udowodnić JD zdradę, strona Deppa cieszy się nawet bardziej, ale nie wiemy jeszcze dlaczego. Wiele osób liczy, że Moss będzie ich asem w rękawie."
1;"Prezydent USA Joe Biden powiedział we wtorek, że amerykańska polityka ""strategicznej niejednoznaczności"" wobec Tajwanu nie ulegnie zmianie, dzień po tym, gdy zaprezentował bezkompromisowe stanowisko wobec wyspy mówiąc że byłby gotów użyć siły w jej obronie"
1;Pentagon poinformował, że po raz pierwszy od początku rosyjskiej inwazji na Ukrainę odbyła się rozmowa sekretarza obrony USA z ministrem obrony Rosji.
1;Ukraina oskarża Rosję o przymusową deportację ponad 210 000 dzieci.
1;W sobotę w Berlinie prawdopodobnie odbędzie się spotkanie ministrów spraw zagranicznych Finlandii, Szwecji i Turcji - podaje AFP.
1;Władimir Putin w rozmowie z prezydentem Finlandii przekazał, że odejście Finów od neutralności wojskowej byłoby błędem, ponieważ nie ma zagrożeń dla jej bezpieczeństwa i może negatywnie wpłynąć na relacje rosyjsko-fińskie - podaje służba prasowa Kremla.
1;G7: Ukraina ma prawo do samoobrony. Będziemy nadal udzielać Ukrainie pomocy wojskowej i obronnej tak długo, jak będzie to konieczne.
1;5 osób zginęło, w tym jeden cywil, siedmiu rannych wskutek izraelskich nalotów w północno-zachodniej Syrii - syryjska agencja SANA.
1;Izraelskie naloty w północno-zachodniej Syrii. Lokalne media informują o co najmniej 2 ofiarach i kilku rannych.
1;17 lipca odbędzie się referendum w sprawie przyłączenia Osetii Południowej do Rosji.
1;Podczas dzisiejszego pogrzebu (w Jerozolimie) zastrzelonej dziennikarki Szirin Abu Akleh doszło do interwencji izraelskich służb, w pewnym momencie trumna z ciałem kobiety niemal nie upadła. Fot. AHMAD GHARABLI/AFP/eastnews.pl
1;"Rosyjski dyplomata przy ONZ Borys Bondarew złożył rezygnację. ""Nigdy nie wstydziłem się swojego kraju tak bardzo, jak 24 lutego""."
1;Nienawidzę oliwek
1;mam wykurwiście dobry mood i wenę jak nigdy, macie jakieś protipy jak tego nie stracić za 2h?
1;7 Merc od 3-6 13 jednostek ponad 500LP spalonych żeby to zagrać Wrażenia, bezcenne
1;Kolumbijski trybunał konstytucyjny poparł samobójstwo medycznie wspomagane dla osób ciężko lub nieuleczalnie chorych.
